Composer,Title,FormID,MidiFile,FormURL,MidiURL,music_period
Alban Berg,Sonata Op. 1,1,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,https://docs.google.com/forms/d/e/1FAIpQLSdERu0k7U7JKuu4QngadnqxkgNWOeA5HXempxgskeg7Zl2XhQ/viewform,https://OpenMusicDataset.github.io/Maestro/maestro-v3.0.0/2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,Romantic
Alban Berg,Sonata Op. 1,2,2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,https://docs.google.com/forms/d/e/1FAIpQLSdbXOBP7WZrgQyN8Kbx5XDPjLB_7kLcSYa7_1yog6VoowdtTA/viewform,https://OpenMusicDataset.github.io/Maestro/maestro-v3.0.0/2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,Romantic
Alban Berg,Sonata Op. 1,3,2017/MIDI-Unprocessed_066_PIANO066_MID--AUDIO-split_07-07-17_Piano-e_3-02_wav--3.midi,https://docs.google.com/forms/d/e/1FAIpQLSfn-WevCGHAcvG1DsDbDGDmzH7PJIz38lTGLkcdhlBkVy9WqQ/viewform,https://OpenMusicDataset.github.io/Maestro/maestro-v3.0.0/2017/MIDI-Unprocessed_066_PIANO066_MID--AUDIO-split_07-07-17_Piano-e_3-02_wav--3.midi,Romantic
Alexander Scriabin,Twenty-Four Preludes Op. 11 No. 13-24,1,2004/MIDI-Unprocessed_XP_21_R1_2004_01_ORIG_MID--AUDIO_21_R1_2004_01_Track01_wav.midi,https://docs.google.com/forms/d/e/1FAIpQLSetwBPiaReIaWpRpusdz0td3n4Kl5taiozf2fHFgBwRh_CsCQ/viewform,https://OpenMusicDataset.github.io/Maestro/maestro-v3.0.0/2004/MIDI-Unprocessed_XP_21_R1_2004_01_ORIG_MID--AUDIO_21_R1_2004_01_Track01_wav.midi,Romantic
Alexander Scriabin,Three Etudes Op. 65,1,2006/MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,https://docs.google.com/forms/d/e/1FAIpQLSdvDockDNfyHB0TLfN5HMswkerrbmj7Xi5f5Wa1CZ78b_6_nQ/viewform,https://OpenMusicDataset.github.io/Maestro/maestro-v3.0.0/2006/MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,Romantic
Alexander Scriabin,Five Preludes Op.15,1,2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_04_WAV.midi,https://docs.google.com/forms/d/e/1FAIpQLSeNbDsmnI7xPU7mtgtTwzIfqPK1YhgtJNwrOoURp6Sn-nzAaQ/viewform,https://OpenMusicDataset.github.io/Maestro/maestro-v3.0.0/2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_04_WAV.midi,Romantic
Alexander Scriabin,Entragete Op.63,1,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_07_WAV.midi,https://docs.google.com/forms/d/e/1FAIpQLSf-C9b7sKhksVA46-EFrlplugBzMutbwPWo2OaQCloiuW4HaA/viewform,https://OpenMusicDataset.github.io/Maestro/maestro-v3.0.0/2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_07_WAV.midi,Romantic
Alexander Scriabin,Etude Op. 2 No.1; Etudes Op. 8 Nos. 5 11 and 12,1,2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--3.midi,https://docs.google.com/forms/d/e/1FAIpQLSf0TX-1UkBLDO-4u6e2kApqMO0FprQhI5XDD0czWJ-RjITmtQ/viewform,https://OpenMusicDataset.github.io/Maestro/maestro-v3.0.0/2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--3.midi,Romantic
Alexander Scriabin,Etude Op. 42 Nos. 4 & 5,1,2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_04_WAV.midi,https://docs.google.com/forms/d/e/1FAIpQLSeRAi1j-D2A-UfE4XJrtwAisi3EoIiOCsDxSlNLkznp3bWuLg/viewform,https://OpenMusicDataset.github.io/Maestro/maestro-v3.0.0/2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_04_WAV.midi,Romantic
Alexander Scriabin,Etude Op. 8 No. 13,1,2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_05_WAV.midi,https://docs.google.com/forms/d/e/1FAIpQLSdEMQ0iuv8iOr0xsbMc4SbFFiXRXUZacvGXuvzCiy8gjBQeyw/viewform,https://OpenMusicDataset.github.io/Maestro/maestro-v3.0.0/2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_05_WAV.midi,Romantic
